운행일자,정산사업자,노선아이디,노선명,노선번호,교통수단구분,교통수단 상세구분명,기점 정류장 아이디,종점 정류장 아이디,기점 정류장 명,종점 정류장 명,노선길이,경유정류장수
2025-06-13,마이비,43017042,대원대학교-강저휴먼시아3단,Feb-53,버스,985제천시내,4394780,4392450,대원대학교,강저휴먼시아3단지앞,12609,37
2025-06-13,마이비,43017043,강저휴먼시아3단-강저휴먼시아3단,58,버스,985제천시내,4392450,4392450,강저휴먼시아3단지앞,강저휴먼시아3단지앞,34052,88
2025-06-13,마이비,43017044,강저휴먼시아3단-신월학사촌_세명,Jan-58,버스,985제천시내,4392450,4306470,강저휴먼시아3단지앞,신월학사촌_세명대정문앞,23870,59
2025-06-13,마이비,43017045,일진제2공장-강저휴먼시아3단,Feb-58,버스,985제천시내,4313960,4392450,일진제2공장,강저휴먼시아3단지앞,16539,43
2025-06-13,마이비,43017046,강저휴먼시아3단-일진제2공장,Mar-58,버스,985제천시내,4392450,4313960,강저휴먼시아3단지앞,일진제2공장,22228,59
2025-06-13,마이비,43017047,강저휴먼시아3단-강저휴먼시아3단,59,버스,985제천시내,4392450,4392450,강저휴먼시아3단지앞,강저휴먼시아3단지앞,44410,92
2025-06-13,마이비,43017048,신백덕일한마음A-제천역,66,버스,985제천시내,4325480,4330430,신백덕일한마음APT,제천역,4436,14
2025-06-13,마이비,43017049,신백덕일한마음A-일진제2공장,Jan-67,버스,985제천시내,4325480,4313960,신백덕일한마음APT,일진제2공장,15112,34
2025-06-13,마이비,43017050,일진제2공장-극동APT,Feb-67,버스,985제천시내,4313960,4324680,일진제2공장,극동APT,15368,36
2025-06-13,마이비,43017051,제천역-제천역,120,버스,985제천시내,4330430,4330430,제천역,제천역,38849,65
2025-06-13,마이비,43017052,제천역-한일앞,120-1,버스,985제천시내,4330430,4321620,제천역,한일앞,19139,34
2025-06-13,마이비,43017053,제천역-제천역,130,버스,985제천시내,4330430,4330430,제천역,제천역,51222,76
2025-06-13,마이비,43017054,제천역-제천역,140,버스,985제천시내,4330430,4330430,제천역,제천역,48802,74
2025-06-13,마이비,43017055,어의곡리-제천역,140-1,버스,985제천시내,4309940,4330430,어의곡리,제천역,24293,36
2025-06-13,마이비,43017056,제천역-제천역,150,버스,985제천시내,4330430,4330430,제천역,제천역,52326,72
2025-06-13,마이비,43017057,제천역-제천역,160,버스,985제천시내,4330430,4330430,제천역,제천역,60774,94
2025-06-13,마이비,43017058,제천역-제천역,161,버스,985제천시내,4330430,4330430,제천역,제천역,61262,94
2025-06-13,마이비,43017059,제천역-제천역,170,버스,985제천시내,4330430,4330430,제천역,제천역,63175,97
2025-06-13,마이비,43017060,제천역-제천역,220,버스,985제천시내,4330430,4330430,제천역,제천역,42219,98
2025-06-13,마이비,43017061,제천역-장락로즈웰,220-1,버스,985제천시내,4330430,4314270,제천역,장락로즈웰,38145,86
